Company,TypeName,Inches,Ram,Weight,Price,Touchscreen,IPS,PPI,Retina,Cpu_name,Cpu_clock_speed,HDD,SSD,Hybrid,Flash_storage,Gpu_brand,OS,predicted_price
Apple,Ultrabook,13.3,8,1.4,71378.6832,0,1,227,1,Intel Core i5,2.3,0,128,0,0,Intel,Mac,67399.83
Apple,Ultrabook,13.3,8,1.3,47895.5232,0,0,128,0,Intel Core i5,1.8,0,0,0,128,Intel,Mac,50155.746
HP,Notebook,15.6,8,1.9,30636.0,0,0,141,0,Intel Core i5,2.5,0,256,0,0,Intel,Linux/Android/Chrome OS/No OS,33910.805
Apple,Ultrabook,15.4,16,1.8,135195.33599999998,0,1,221,1,Intel Core i7,2.7,0,512,0,0,AMD,Mac,129738.516
Apple,Ultrabook,13.3,8,1.4,96095.808,0,1,227,1,Intel Core i5,3.1,0,256,0,0,Intel,Mac,92149.59
Acer,Notebook,15.6,4,2.1,21312.0,0,0,100,0,other AMD processors,3.0,500,0,0,0,AMD,Windows,20447.371
Apple,Ultrabook,15.4,16,2.0,114017.6016,0,1,221,1,Intel Core i7,2.2,0,0,0,256,Intel,Mac,114398.664
Apple,Ultrabook,13.3,8,1.3,61735.536,0,0,128,0,Intel Core i5,1.8,0,0,0,256,Intel,Mac,61291.734
Asus,Ultrabook,14.0,16,1.3,79653.59999999999,0,0,157,0,Intel Core i7,1.8,0,512,0,0,Nvidia,Windows,75401.34
Acer,Ultrabook,14.0,8,1.6,41025.6,0,1,157,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,47640.91
HP,Notebook,15.6,4,1.9,20986.992,0,0,100,0,Intel Core i5,2.5,500,0,0,0,Intel,Linux/Android/Chrome OS/No OS,23846.74
HP,Notebook,15.6,4,1.9,18381.0672,0,0,141,0,Intel Core i3,2.0,500,0,0,0,Intel,Linux/Android/Chrome OS/No OS,18974.693
Apple,Ultrabook,15.4,16,1.8,130001.6016,0,1,221,1,Intel Core i7,2.8,0,256,0,0,AMD,Mac,128561.664
Dell,Notebook,15.6,4,2.2,26581.392,0,0,141,0,Intel Core i3,2.0,0,256,0,0,AMD,Windows,30115.799
Apple,Ultrabook,12.0,8,0.9,67260.672,0,1,226,1,Intel Core M,1.2,0,256,0,0,Intel,Mac,72111.67
Apple,Ultrabook,13.3,8,1.4,80908.344,0,1,227,1,Intel Core i5,2.3,0,256,0,0,Intel,Mac,77691.03
Dell,Notebook,15.6,8,2.2,39693.6,0,0,141,0,Intel Core i7,2.7,0,256,0,0,AMD,Windows,50604.45
Apple,Ultrabook,15.4,16,1.8,152274.24,0,1,221,1,Intel Core i7,2.9,0,512,0,0,AMD,Mac,152555.34
Lenovo,Notebook,15.6,8,2.2,26586.72,0,0,141,0,Intel Core i3,2.4,1024,0,0,0,Nvidia,Linux/Android/Chrome OS/No OS,27348.56
Dell,Ultrabook,13.3,8,1.2,52161.12,1,1,166,0,Intel Core i5,1.6,0,128,0,0,Intel,Windows,59052.617
Asus,Netbook,11.6,2,1.0,10224.432,0,0,135,0,other Intel processors,1.44,0,0,0,32,Intel,Windows,10723.126
Lenovo,Gaming,15.6,8,2.5,53226.72,0,1,141,0,Intel Core i5,2.5,1024,128,0,0,Nvidia,Windows,56209.336
HP,Notebook,15.6,4,1.9,13746.24,0,0,100,0,other AMD processors,1.5,500,0,0,0,AMD,Linux/Android/Chrome OS/No OS,13028.748
Dell,2 in 1 Convertible,13.3,8,1.6,43636.32,1,0,166,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,52044.168
HP,Ultrabook,15.6,8,1.9,35111.52,0,0,141,0,Intel Core i7,1.8,0,256,0,0,Intel,Windows,47715.934
Dell,Notebook,15.6,4,2.3,22305.1392,0,0,100,0,Intel Core i3,2.0,1024,0,0,0,Intel,Windows,25697.012
Apple,Ultrabook,13.3,8,1.4,58554.72,0,0,128,0,Intel Core i5,1.6,0,0,0,128,Intel,Mac,49697.09
Dell,Notebook,15.6,8,2.2,42624.0,0,0,141,0,Intel Core i5,1.6,0,256,0,0,AMD,Windows,43215.598
Dell,Ultrabook,15.6,8,1.9,69157.44,0,0,141,0,Intel Core i7,1.9,0,256,0,0,Intel,Windows,57339.617
HP,Notebook,17.3,8,2.5,47738.88,0,0,127,0,Intel Core i5,1.6,1024,0,0,0,Nvidia,Windows,45415.94
Chuwi,Notebook,15.6,4,1.9,13053.0672,0,0,141,0,other Intel processors,1.44,0,0,0,64,Intel,Windows,13928.798
Asus,Notebook,14.0,2,1.6,10602.72,0,0,112,0,other AMD processors,1.5,0,0,0,32,AMD,Windows,11258.819
HP,Notebook,17.3,4,2.7,23389.92,0,0,127,0,other AMD processors,2.5,500,0,0,0,AMD,Windows,26740.83
Dell,Ultrabook,13.3,16,1.2,99580.32,1,0,276,0,Intel Core i7,1.8,0,512,0,0,Intel,Windows,111320.17
Apple,Ultrabook,13.3,8,1.4,53173.44,0,0,128,0,Intel Core i5,1.6,0,0,0,256,Intel,Mac,57378.348
Lenovo,Notebook,14.0,4,1.4,13266.72,0,0,112,0,other Intel processors,1.1,0,0,0,64,Intel,Windows,14572.093
Acer,Notebook,15.6,4,2.1,19553.76,0,0,100,0,Intel Core i3,2.7,1024,0,0,0,Intel,Linux/Android/Chrome OS/No OS,20386.445
